Period;StationName;SurveillanceZoneCharacteristics;AdmArea;District;Parameter;MonthlyAverage;MonthlyAveragePDKss;Longitude;Latitude
сен.22;Чаянова;Жилые территории;Центральный административный округ;Тверской район;Метан;0.07;0;37.60574947851484;55.76640428702402
сен.22;Чаянова;Жилые территории;Центральный административный округ;Тверской район;Метан;0.07;0;37.60541216231775;55.76744797164781
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.56545563080505;55.72336571052429
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.57310661882008;55.72597516321949
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.573934210864934;55.72840257406091
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.57564878917779;55.73018084055687
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.57602886336099;55.73326218219856
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.57874361221681;55.73631912150395
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.58017242740354;55.739134511695596
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.579458019810176;55.74098451467219
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.57517157424866;55.73929538500133
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.57188529931838;55.73575601909454
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.57059936564923;55.732296783209506
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.568884787424594;55.72956135640891
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.56531274945786;55.72610157155128
янв.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Метан;0.81;0;37.56545563080505;55.72336571052429
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.60504713259061;55.70407592035221
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.60420384209942;55.70217520773144
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.60808298034161;55.69951405462547
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.61133668402255;55.6977105426123
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.62128751182345;55.699706516428904
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.6189263003202;55.706359026558886
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.63285780071922;55.70883912464413
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.628978664458685;55.71216474387015
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.6171725975768;55.71263980922234
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.61379943561195;55.70874410279265
июн.22;Шаболовка;Жилые территории;Южный административный округ;Донской район;Метан;0.22;0;37.60504713259061;55.70407592035221
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.56287513298318;55.662562879181536
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.55724749869327;55.661655908443265
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.558319430060095;55.663318670880955
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.55188784186163;55.66392329425352
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.5473321281699;55.660144245580284
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.55644354478477;55.65938839192978
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.56019530456675;55.65969073514148
янв.22;Черемушки;Жилые территории;Юго-Западный административный округ;Академический район;Метан;0.93;0;37.56287513298318;55.662562879181536
